"Date","Price","Open","High","Low","Vol.","Change %"
"10/19/2023","2,306.15","2,312.00","2,321.80","2,301.00","6.02M","-0.77%"
"10/18/2023","2,324.00","2,355.25","2,367.00","2,321.00","4.46M","-1.33%"
"10/17/2023","2,355.25","2,356.00","2,359.70","2,341.30","3.96M","0.48%"
"10/16/2023","2,344.05","2,345.00","2,354.55","2,336.00","2.96M","-0.22%"
"10/13/2023","2,349.30","2,340.00","2,357.50","2,329.15","5.08M","0.00%"
"10/12/2023","2,349.40","2,343.85","2,359.35","2,338.15","6.28M","0.19%"
"10/11/2023","2,345.05","2,314.45","2,349.70","2,313.00","4.91M","1.59%"
"10/10/2023","2,308.40","2,306.55","2,317.90","2,303.75","5.12M","0.44%"
"10/09/2023","2,298.25","2,308.10","2,311.95","2,295.00","3.79M","-0.85%"
"10/06/2023","2,318.00","2,317.05","2,324.80","2,312.05","2.72M","0.17%"
"10/05/2023","2,314.10","2,319.25","2,329.40","2,309.00","5.48M","0.00%"
"10/04/2023","2,314.15","2,309.00","2,319.00","2,295.10","5.14M","-0.17%"
"10/03/2023","2,318.15","2,329.95","2,335.60","2,316.00","4.43M","-1.14%"
"09/29/2023","2,345.00","2,341.80","2,369.10","2,334.10","6.17M","0.47%"
"09/28/2023","2,334.10","2,383.00","2,383.00","2,325.00","7.26M","-1.47%"
"09/27/2023","2,368.90","2,343.50","2,371.80","2,338.50","5.86M","1.13%"
"09/26/2023","2,342.50","2,338.55","2,350.20","2,335.60","5.04M","0.09%"
"09/25/2023","2,340.45","2,350.40","2,360.70","2,335.10","7.13M","-0.62%"
"09/22/2023","2,354.95","2,376.00","2,382.45","2,350.00","9.59M","-0.42%"
"09/21/2023","2,364.80","2,374.95","2,390.10","2,360.00","6.11M","-0.73%"
"09/20/2023","2,382.15","2,423.05","2,427.60","2,355.00","28.54M","-2.23%"
"09/18/2023","2,436.45","2,440.05","2,451.00","2,432.05","3.76M","-0.87%"
"09/15/2023","2,457.85","2,468.00","2,468.00","2,449.50","12.73M","0.19%"
"09/14/2023","2,453.30","2,460.00","2,465.80","2,445.00","4.60M","0.09%"
"09/13/2023","2,451.05","2,440.00","2,462.65","2,426.25","6.40M","0.50%"
"09/12/2023","2,438.85","2,483.00","2,483.00","2,435.95","8.13M","-1.44%"
"09/11/2023","2,474.60","2,452.00","2,476.85","2,452.00","6.64M","1.08%"
"09/08/2023","2,448.20","2,440.00","2,456.00","2,422.95","11.55M","0.67%"
"09/07/2023","2,432.00","2,421.70","2,438.25","2,411.00","6.83M","0.14%"
"09/06/2023","2,428.70","2,421.10","2,436.15","2,417.25","4.10M","0.21%"
"09/05/2023","2,423.60","2,420.00","2,433.95","2,412.45","4.34M","0.54%"
"09/04/2023","2,410.70","2,412.65","2,423.65","2,405.30","4.67M","-0.08%"
"09/01/2023","2,412.65","2,406.55","2,425.65","2,401.65","9.06M","0.23%"
"08/31/2023","2,407.00","2,423.00","2,425.00","2,399.90","10.82M","-0.46%"
"08/30/2023","2,418.05","2,432.00","2,443.00","2,415.00","6.08M","-0.10%"
"08/29/2023","2,420.35","2,452.05","2,453.45","2,408.15","8.44M","-0.96%"
"08/28/2023","2,443.75","2,472.00","2,484.00","2,431.10","6.29M","-1.00%"
"08/25/2023","2,468.35","2,456.00","2,505.00","2,442.60","11.11M","-0.46%"
"08/24/2023","2,479.80","2,539.90","2,539.90","2,471.00","7.07M","-1.68%"
"08/23/2023","2,522.20","2,524.20","2,542.85","2,516.95","4.76M","0.11%"
"08/22/2023","2,519.40","2,516.90","2,537.95","2,499.00","3.86M","-0.02%"
"08/21/2023","2,520.00","2,539.95","2,555.45","2,515.65","4.61M","-1.44%"
"08/18/2023","2,556.80","2,531.25","2,577.60","2,508.55","9.32M","0.74%"
"08/17/2023","2,538.00","2,567.10","2,578.10","2,532.85","6.84M","-1.44%"
"08/16/2023","2,575.15","2,551.00","2,582.80","2,551.00","5.10M","-0.08%"
"08/14/2023","2,577.25","2,539.00","2,582.30","2,525.00","4.79M","1.18%"
"08/11/2023","2,547.15","2,532.45","2,558.85","2,512.35","11.09M","0.42%"
"08/10/2023","2,536.45","2,524.95","2,550.00","2,508.45","7.74M","0.45%"
"08/09/2023","2,525.20","2,504.85","2,529.00","2,481.10","5.74M","0.66%"
"08/08/2023","2,508.65","2,528.00","2,534.45","2,499.55","4.92M","-0.60%"
"08/07/2023","2,523.85","2,521.00","2,528.40","2,505.00","2.99M","0.57%"
"08/04/2023","2,509.55","2,498.80","2,516.00","2,471.60","11.44M","1.36%"
"08/03/2023","2,475.90","2,475.30","2,500.90","2,458.05","5.08M","-0.42%"
"08/02/2023","2,486.35","2,509.20","2,512.00","2,463.60","6.37M","-1.07%"
"08/01/2023","2,513.20","2,555.00","2,559.00","2,505.30","4.77M","-1.41%"
"07/31/2023","2,549.25","2,527.85","2,553.90","2,517.95","4.28M","0.85%"
"07/28/2023","2,527.85","2,512.05","2,542.85","2,500.55","10.41M","1.00%"
"07/27/2023","2,502.70","2,534.05","2,537.65","2,490.35","8.61M","-0.93%"
"07/26/2023","2,526.20","2,485.00","2,547.00","2,485.00","6.46M","1.63%"
"07/25/2023","2,485.80","2,494.00","2,505.20","2,480.00","6.01M","-0.06%"
"07/24/2023","2,487.40","2,481.00","2,514.95","2,469.30","11.86M","-2.02%"
"07/21/2023","2,538.75","2,609.00","2,614.90","2,523.60","15.12M","-3.10%"
"07/20/2023","2,619.85","2,580.00","2,630.95","2,580.00","19.36M","1.54%"
"07/19/2023","2,580.00","2,569.24","2,592.85","2,539.28","18.05M","0.76%"
"07/18/2023","2,560.57","2,557.44","2,576.00","2,535.65","11.94M","0.85%"
"07/17/2023","2,539.01","2,493.89","2,555.67","2,476.64","10.25M","2.04%"
"07/14/2023","2,488.17","2,496.61","2,506.51","2,474.01","6.98M","-0.08%"
"07/13/2023","2,490.26","2,527.39","2,541.10","2,485.04","6.78M","-0.89%"
"07/12/2023","2,512.73","2,511.41","2,543.82","2,507.19","8.65M","0.11%"
"07/11/2023","2,509.96","2,499.25","2,514.77","2,485.35","9.26M","1.08%"
"07/10/2023","2,483.04","2,441.14","2,502.06","2,428.52","15.34M","3.85%"
"07/07/2023","2,390.94","2,392.21","2,419.40","2,385.85","6.17M","-0.19%"
"07/06/2023","2,395.61","2,338.69","2,400.79","2,338.69","8.82M","2.10%"
"07/05/2023","2,346.36","2,368.60","2,368.60","2,338.46","4.73M","-0.16%"
"07/04/2023","2,350.22","2,383.13","2,383.13","2,336.15","3.72M","-1.03%"
"07/03/2023","2,374.69","2,322.35","2,380.41","2,319.90","5.61M","2.57%"
"06/30/2023","2,315.27","2,311.77","2,321.08","2,300.02","5.15M","0.82%"
"06/28/2023","2,296.43","2,281.45","2,304.01","2,267.70","5.24M","1.32%"
"06/27/2023","2,266.42","2,266.52","2,278.27","2,257.53","4.47M","0.04%"
"06/26/2023","2,265.61","2,276.00","2,283.63","2,259.39","5.83M","-0.76%"
"06/23/2023","2,283.04","2,295.88","2,299.97","2,280.54","3.06M","-0.82%"
"06/22/2023","2,301.88","2,320.49","2,336.19","2,298.70","3.52M","-1.12%"
"06/21/2023","2,328.02","2,321.40","2,333.06","2,313.22","3.21M","0.28%"
"06/20/2023","2,321.49","2,312.82","2,327.75","2,301.42","3.19M","0.21%"
"06/19/2023","2,316.67","2,345.91","2,345.91","2,308.37","3.14M","-0.99%"
"06/16/2023","2,339.92","2,324.30","2,344.46","2,324.30","11.16M","0.97%"
"06/15/2023","2,317.36","2,316.67","2,326.43","2,301.88","5.45M","0.03%"
"06/14/2023","2,316.72","2,288.71","2,319.58","2,285.08","6.13M","1.23%"
"06/13/2023","2,288.58","2,265.11","2,290.94","2,257.16","5.19M","1.48%"
"06/12/2023","2,255.26","2,247.40","2,259.84","2,237.87","2.95M","0.09%"
"06/09/2023","2,253.26","2,276.00","2,277.41","2,249.67","2.71M","-0.71%"
"06/08/2023","2,269.33","2,275.09","2,284.94","2,261.48","5.57M","0.06%"
